strategy_variant,timeframe,threshold,direction,target_pct,stop_pct,n_trades,win_rate_pct,avg_pnl_pct,avg_win_pct,avg_loss_pct,total_pnl_pct,profit_factor,expectancy_pct,sharpe_like,max_drawdown_pct,avg_bars_held,tp_rate_pct,sl_rate_pct,eod_rate_pct
nifty_filtered,1minute,2.0,below,1.5,0.5,35917.0,30.648439457638442,-0.005991341506261539,1.0697876075286727,-0.4814088480692129,-215.19101288039568,0.9820545741404956,-0.005991341506261539,-0.007675636320906791,-508.11600152626335,37.08388785254893,17.849486315672245,65.72096778684188,16.42954589748587
nifty_filtered,1minute,3.0,above,1.0,0.5,12566.0,35.92233009708738,0.02260642314607798,0.9421348975249241,-0.4928868124905479,284.0723132536159,1.071577733622303,0.02260642314607798,0.03231861387858128,-39.95738019192302,10.727279961801687,32.48448193538119,62.780518860417004,4.734999204201815
nifty_filtered,1minute,3.0,above,1.5,0.5,12231.0,29.67868530782438,0.040290566291381114,1.3027851817982001,-0.49253764604320255,492.79391630988243,1.116326044174823,0.040290566291381114,0.04730264080040044,-41.08927462824613,15.986754966887418,23.31779903523833,68.84964434633308,7.832556618428583
nifty_filtered,1minute,3.0,below,1.0,0.5,8428.0,35.67869008068343,0.006164727795271087,0.8966153861145449,-0.48776353812726303,51.95632585854472,1.019649418041051,0.006164727795271087,0.009033245965743222,-81.09442622226817,16.631822496440435,29.852871381110585,62.12624584717608,8.020882771713337
nifty_filtered,1minute,3.0,below,1.5,0.5,8150.0,29.65644171779141,0.009237985468051834,1.1864262559644354,-0.48705785436968746,75.28958156462245,1.0269632594374944,0.009237985468051834,0.011353677990497902,-86.68396041203914,22.922453987730062,20.33128834355828,67.85276073619632,11.815950920245399
nifty_filtered,1minute,4.0,above,1.0,0.5,4174.0,36.39195016770484,0.03870925716956344,0.9692175470980507,-0.49366064580647134,161.57243942575778,1.123274783811894,0.03870925716956344,0.05450891347432546,-31.292177030497015,7.08552946813608,34.47532343076186,62.458073790129376,3.0666027791087687
nifty_filtered,1minute,4.0,above,1.5,0.5,4054.0,29.205722742969908,0.05658911973234126,1.3875949699428478,-0.4925087641175681,229.41229139491145,1.1623008606721275,0.05658911973234126,0.06476847820592051,-25.745956211533326,10.47927972372965,25.407005426739023,69.2895905278737,5.303404045387272
nifty_filtered,1minute,4.0,below,1.0,0.5,2577.0,36.825766395032986,0.03162269928996903,0.9317663586585442,-0.4930924928112459,81.4916960702502,1.1015150810390393,0.03162269928996903,0.04513004022024372,-30.679734630764557,10.937136204889406,32.9452852153667,61.893674815677144,5.161039968956151
nifty_filtered,1minute,4.0,below,1.5,0.5,2484.0,30.07246376811594,0.04378244684003395,1.2930291869300123,-0.49345837920902413,108.75559795064433,1.126882367672368,0.04378244684003395,0.051231529859837484,-33.179884982458546,15.561191626409018,23.792270531400966,68.59903381642512,7.608695652173914
nifty_filtered,5minute,1.5,above,1.0,0.5,54291.0,36.12385109870881,0.0014239819654197213,0.8568986895652287,-0.4823722626047079,77.30940488460209,1.0046215051083098,0.0014239819654197213,0.0021270547316903942,-413.80117620044047,6.585529829990238,28.052531727173935,60.56804995303089,11.379418319795178
nifty_filtered,5minute,1.5,above,1.5,0.5,53153.0,31.260700242695616,0.003302470388825951,1.0697607109258949,-0.48169274336063184,175.53620857726577,1.0099738704935604,0.003302470388825951,0.004224791441762842,-528.0537204312815,8.957500047034033,17.366846650236113,65.0518315052772,17.58132184448667
nifty_filtered,5minute,1.5,below,1.0,0.5,50729.0,34.07124130181947,-0.03631014306660021,0.8198037149634503,-0.4787401601750288,-1841.977247625562,0.8849588537289697,-0.03631014306660021,-0.05612471227122379,-1885.9966583277837,8.0104476729287,24.86546157030495,61.91133276823907,13.223205661455973
nifty_filtered,5minute,1.5,below,1.5,0.5,49733.0,29.797116602658196,-0.03556230484121166,1.006541162078585,-0.4778757400329532,-1768.6201066679796,0.8939965581103767,-0.03556230484121166,-0.047430760096729946,-1907.5697053242716,10.088693623951903,15.675708282227093,65.74910019504152,18.575191522731384
nifty_filtered,5minute,2.0,above,1.0,0.5,25600.0,35.140625,-0.0027028217107843634,0.8921107860888858,-0.48751029074028523,-69.1922357960797,0.9914520720699472,-0.0027028217107843634,-0.00398472026814552,-320.9439796844597,4.7520703125,29.16796875,62.42578125,8.40625
nifty_filtered,5minute,2.0,above,1.5,0.5,25111.0,29.731989964557364,0.0024354612967180376,1.1581184999203065,-0.48656026363180044,61.15686862188664,1.0071233935643082,0.0024354612967180376,0.003034221336625553,-325.03001207544696,6.616024849667476,19.18282824260284,67.47640476285294,13.340766994544223
nifty_filtered,5minute,2.0,below,1.0,0.5,21854.0,33.83819895671273,-0.031311351510630636,0.8543456870960014,-0.48427724130218225,-684.278275913322,0.9022761800276291,-0.031311351510630636,-0.047518508111964244,-690.6330288922793,6.181294042280589,26.30639699826119,63.19666880204997,10.496934199688845
nifty_filtered,5minute,2.0,below,1.5,0.5,21453.0,29.077518295809448,-0.03024881171644691,1.0752408242466887,-0.4834886637794137,-648.9277577529356,0.9117858814453436,-0.03024881171644691,-0.039277327411681134,-662.6990365594909,8.005826690905701,17.074535030065725,67.57563044795599,15.349834521978279
nifty_filtered,5minute,3.0,above,1.0,0.5,6532.0,33.634415186772806,-0.007813063644093354,0.9475936819604165,-0.4920180509781436,-51.03493172321778,0.97607249586354,-0.007813063644093354,-0.011321348198681453,-130.73082771519483,2.7790875688916103,30.633802816901408,64.94182486221678,4.424372320881813
nifty_filtered,5minute,3.0,above,1.5,0.5,6441.0,28.303058531283966,0.018302523393498433,1.3093856278690212,-0.4913649732411655,117.88655317752341,1.0519524635661022,0.018302523393498433,0.021784755364648786,-68.0028319521705,3.8684986803291412,22.29467473994721,70.00465766185376,7.700667598199037
nifty_filtered,5minute,3.0,below,1.0,0.5,4630.0,33.69330453563715,-0.02044128015620695,0.903770887797746,-0.4900735218526781,-94.64312712323817,0.9370943770765414,-0.02044128015620695,-0.030225748622850972,-135.5557217707008,3.9982721382289417,28.747300215982722,64.53563714902808,6.717062634989201
