timeframe,threshold,direction,adx_bucket,n_events,ret_5,band_exit_5,full_reversion_5,adverse_excursion_5,ret_10,band_exit_10,full_reversion_10,adverse_excursion_10,ret_20,band_exit_20,full_reversion_20,adverse_excursion_20,ret_40,band_exit_40,full_reversion_40,adverse_excursion_40
15minute,2.0,below,strong(>40),5976,0.04517757617026265,0.7990045034368334,0.09338705854467884,0.34446356765400915,0.11736420428276624,0.8798809966530309,0.23391595388620304,0.48872517935795706,0.3028737356280564,0.9401197604790419,0.5209580838323353,0.6195461654639723,,,,
15minute,2.0,below,weak(<20),2479,0.04012099832471049,0.7950600801068091,0.07142857142857142,0.27330268380657047,0.07249923340513847,0.9043869516310461,0.1766029246344207,0.34722849049563237,0.004814241233713425,0.9846153846153847,0.441025641025641,0.4170765242919576,,,,
15minute,3.0,above,moderate(20-40),2239,0.1235221037822448,0.9023668639053254,0.11612426035502958,0.31650904563116,0.21439749144408027,0.9529276693455798,0.25602755453501724,0.41260306533092145,0.6075272710030408,0.9864864864864865,0.5337837837837838,0.43057410786285694,,,,
15minute,3.0,above,strong(>40),2039,0.09028896011183865,0.875186846038864,0.14050822122571002,0.39375821080056117,0.1841574010951423,0.9326599326599326,0.31200897867564537,0.49135663169712657,0.3549080891719596,0.9432624113475178,0.6099290780141844,0.7067484109433269,,,,
15minute,3.0,above,weak(<20),238,0.1434771767006371,0.9074074074074074,0.1388888888888889,0.3669061676925755,0.4129015463508506,0.9682539682539683,0.2698412698412698,0.4218578725500116,-2.2726543888395123,1.0,0.4166666666666667,1.0328278531567336,,,,
15minute,3.0,below,moderate(20-40),2226,0.20043476679336666,0.815712187958884,0.08223201174743025,0.3874118345412014,0.057727070290568804,0.891566265060241,0.1674698795180723,0.5428632937491494,-0.3391944438297905,0.9473684210526315,0.39473684210526316,0.6857869914114181,,,,
15minute,3.0,below,strong(>40),1222,0.11843709897730267,0.8050239234449761,0.09928229665071771,0.5057739094408252,-0.0393374486067112,0.8754789272030651,0.22030651340996169,0.7475740204220371,0.24303008535986534,0.9711538461538461,0.47115384615384615,0.8012487798662146,,,,
15minute,3.0,below,weak(<20),360,0.11800907998516018,0.7564766839378239,0.05699481865284974,0.3823489258871374,0.19554114706128378,0.8811881188118812,0.1485148514851485,0.46116092461666625,0.8743384406793662,1.0,0.4375,0.2409874552726214,,,,
15minute,4.0,above,moderate(20-40),542,0.3235486665587352,0.8877551020408163,0.11904761904761904,0.34505653689772614,0.2734215312468567,0.9657142857142857,0.2342857142857143,0.42980412623784264,0.846564120813455,0.9090909090909091,0.45454545454545453,0.3085490285615782,,,,
15minute,4.0,above,strong(>40),737,0.2883606520293917,0.8755868544600939,0.11737089201877934,0.3732430294410144,0.34454887364998626,0.9272030651340997,0.24521072796934865,0.5226779918588516,0.276957242726949,0.967741935483871,0.5806451612903226,0.54784523421995,,,,
15minute,4.0,above,weak(<20),41,-0.6630855904744534,0.6842105263157895,0.10526315789473684,0.6092805469981575,0.14553728436938385,1.0,0.0,0.32610426756514305,,,,,,,,
15minute,4.0,below,moderate(20-40),610,0.34192136806436574,0.8058510638297872,0.07446808510638298,0.40735609501254477,0.3110061012862142,0.9039301310043668,0.15283842794759825,0.5796358264102626,0.012088688772909407,1.0,0.43243243243243246,0.3920066043192332,,,,
15minute,4.0,below,strong(>40),365,0.2581784829757044,0.8549019607843137,0.10196078431372549,0.5186259312681201,0.3588633757500321,0.9,0.22941176470588234,0.6651366114999842,0.6456274270680473,0.9428571428571428,0.45714285714285713,0.5641368944629984,,,,
15minute,4.0,below,weak(<20),78,0.45760594067005894,0.85,0.075,0.38735039878352306,0.0371826755408364,0.9047619047619048,0.14285714285714285,0.549015223736161,0.9131347327065793,1.0,0.25,0.041071094285303644,,,,
1minute,1.5,above,moderate(20-40),101536,0.010880348611271072,0.6818953152461567,0.009656370578372155,0.16791455595326768,0.00700932956666941,0.7946143219447823,0.026134559475453102,0.24106128872969737,-0.007467762970162069,0.8754090243692414,0.061041505209678805,0.3308309697502382,-0.014199898195890757,0.9336557495584558,0.12961843462181288,0.42888721859229667
1minute,1.5,above,strong(>40),57130,0.015484375556010167,0.7199393073902178,0.012834701892181364,0.16632322161234114,0.01661939430321996,0.8289418653283145,0.036531922244649316,0.2331250944561084,0.016719137615596562,0.9061311022355146,0.08586193189346761,0.30925341956061186,0.008902458669183447,0.9522920726079377,0.17239257512050046,0.3875872312403936
1minute,1.5,above,weak(<20),32395,0.015062856435238385,0.6648281983010016,0.004564473183720046,0.14593697903676242,0.01188986957144461,0.7738711346875404,0.01355285289170656,0.21794026010426615,0.006454043988038912,0.8556966311156256,0.03213136956153716,0.31061488492835326,-0.001219174646373709,0.9186543654365437,0.07980798079807981,0.42817119408836773
