symbol,entry_time,exit_time,entry_price,exit_price,qty,notional,gross_pnl,cost,net_pnl,exit_reason
ONESOURCE,2025-03-03 13:47:00+05:30,2025-03-03 14:29:00+05:30,1304.75,1311.2737499999998,83,108294.25,-541.4712499999864,54.147125,-595.6183749999864,SL
MINDACORP,2025-03-03 13:47:00+05:30,2025-03-03 15:02:00+05:30,486.5,488.93249999999995,225,109462.5,-547.3124999999883,54.73125,-602.0437499999883,SL
SAPPHIRE,2025-03-03 13:51:00+05:30,2025-03-03 14:38:00+05:30,321.45,323.05724999999995,340,109293.0,-546.4649999999881,54.6465,-601.1114999999882,SL
VBL,2025-03-03 14:10:00+05:30,2025-03-03 14:28:00+05:30,452.95,455.2147499999999,241,109160.95,-545.8047499999844,54.580475,-600.3852249999844,SL
PARADEEP,2025-03-03 14:29:00+05:30,2025-03-03 15:29:00+05:30,90.3,90.04,1214,109624.2,315.63999999998896,54.8121,260.827899999989,EOD
BIKAJI,2025-03-03 14:35:00+05:30,2025-03-03 14:40:00+05:30,649.0,652.2449999999999,168,109032.0,-545.1599999999817,54.516,-599.6759999999816,SL
LTFOODS,2025-03-03 14:36:00+05:30,2025-03-03 14:44:00+05:30,337.0,338.68499999999995,325,109525.0,-547.6249999999823,54.7625,-602.3874999999823,SL
SAPPHIRE,2025-03-03 14:39:00+05:30,2025-03-03 14:45:00+05:30,325.2,326.82599999999996,336,109267.2,-546.335999999992,54.6336,-600.969599999992,SL
ONESOURCE,2025-03-03 14:40:00+05:30,2025-03-03 14:45:00+05:30,1306.1,1312.6304999999998,83,108406.29999999999,-542.0314999999872,54.203149999999994,-596.2346499999871,SL
ACE,2025-03-03 14:46:00+05:30,2025-03-03 15:12:00+05:30,1023.45,1028.5672499999998,106,108485.70000000001,-542.4284999999772,54.242850000000004,-596.6713499999772,SL
NH,2025-03-03 14:47:00+05:30,2025-03-03 14:50:00+05:30,1612.0,1620.0599999999997,67,108004.0,-540.0199999999811,54.002,-594.0219999999811,SL
ANURAS,2025-03-03 14:50:00+05:30,2025-03-03 14:53:00+05:30,667.0,670.3349999999999,163,108721.0,-543.6049999999874,54.3605,-597.9654999999874,SL
BIKAJI,2025-03-03 14:56:00+05:30,2025-03-03 15:13:00+05:30,651.65,654.90825,167,108825.55,-544.127749999996,54.412775,-598.540524999996,SL
SAREGAMA,2025-03-03 14:58:00+05:30,2025-03-03 15:16:00+05:30,448.7,441.9695,243,109034.09999999999,1635.5115000000014,54.51705,1580.9944500000015,TP
CHALET,2025-03-03 15:02:00+05:30,2025-03-03 15:29:00+05:30,753.85,757.61925,144,108554.40000000001,-542.7719999999917,54.27720000000001,-597.0491999999917,SL
MAPMYINDIA,2025-03-03 15:03:00+05:30,2025-03-03 15:05:00+05:30,1673.4,1681.7669999999998,65,108771.0,-543.8549999999827,54.3855,-598.2404999999827,SL
MINDACORP,2025-03-03 15:04:00+05:30,2025-03-03 15:10:00+05:30,491.2,493.65599999999995,222,109046.4,-545.2319999999912,54.523199999999996,-599.7551999999912,SL
BDL,2025-03-03 15:04:00+05:30,2025-03-03 15:04:00+05:30,983.85,988.7692499999999,110,108223.5,-541.1174999999912,54.11175,-595.2292499999912,SL
ABREL,2025-03-03 15:07:00+05:30,2025-03-03 15:11:00+05:30,1982.95,1992.8647499999997,54,107079.3,-535.396499999983,53.53965,-588.9361499999831,SL
BDL,2025-03-03 15:08:00+05:30,2025-03-03 15:29:00+05:30,984.75,971.95,110,108322.5,1407.999999999995,54.16125,1353.838749999995,EOD
WELSPUNLIV,2025-03-03 15:08:00+05:30,2025-03-03 15:09:00+05:30,115.85,116.42924999999998,941,109014.84999999999,-545.0742499999883,54.507425,-599.5816749999883,SL
MEDANTA,2025-03-03 15:12:00+05:30,2025-03-03 15:12:00+05:30,1217.25,1223.3362499999998,89,108335.25,-541.6762499999854,54.167625,-595.8438749999855,SL
ACE,2025-03-03 15:13:00+05:30,2025-03-03 15:24:00+05:30,1030.6,1035.7529999999997,105,108212.99999999999,-541.0649999999781,54.1065,-595.1714999999781,SL
BIKAJI,2025-03-03 15:14:00+05:30,2025-03-03 15:29:00+05:30,656.05,655.0,165,108248.24999999999,173.24999999999247,54.12412499999999,119.12587499999248,EOD
NH,2025-03-03 15:14:00+05:30,2025-03-03 15:14:00+05:30,1622.9,1631.0145,66,107111.40000000001,-535.5569999999939,53.55570000000001,-589.1126999999939,SL
KIMS,2025-03-03 15:14:00+05:30,2025-03-03 15:20:00+05:30,519.3,521.8965,209,108533.7,-542.6684999999983,54.26685,-596.9353499999983,SL
NAVINFLUOR,2025-03-03 15:15:00+05:30,2025-03-03 15:16:00+05:30,3835.1,3854.2754999999993,28,107382.8,-536.9139999999825,53.6914,-590.6053999999825,SL
CGCL,2025-03-03 15:15:00+05:30,2025-03-03 15:16:00+05:30,162.15,162.96075,669,108478.35,-542.3917499999897,54.239175,-596.6309249999897,SL
CGCL,2025-03-03 15:17:00+05:30,2025-03-03 15:17:00+05:30,163.02,163.83509999999998,666,108571.32,-542.8565999999818,54.28566000000001,-597.1422599999818,SL
ABREL,2025-03-03 15:19:00+05:30,2025-03-03 15:24:00+05:30,1986.35,1996.2817499999996,54,107262.9,-536.3144999999859,53.63145,-589.9459499999858,SL
WELSPUNLIV,2025-03-03 15:19:00+05:30,2025-03-03 15:19:00+05:30,116.08,116.66039999999998,935,108534.8,-542.6739999999843,54.2674,-596.9413999999842,SL
NAVINFLUOR,2025-03-03 15:20:00+05:30,2025-03-03 15:29:00+05:30,3836.25,3834.45,28,107415.0,50.4000000000051,53.7075,-3.307499999994903,EOD
KIMS,2025-03-03 15:21:00+05:30,2025-03-03 15:21:00+05:30,522.9,525.5144999999999,207,108240.29999999999,-541.2014999999808,54.120149999999995,-595.3216499999808,SL
SAREGAMA,2025-03-03 15:21:00+05:30,2025-03-03 15:25:00+05:30,449.75,451.99875,240,107940.0,-539.6999999999935,53.97,-593.6699999999935,SL
FSL,2025-03-03 15:25:00+05:30,2025-03-03 15:29:00+05:30,348.15,345.45,310,107926.5,836.9999999999965,53.96325,783.0367499999965,EOD
BATAINDIA,2025-03-03 15:27:00+05:30,2025-03-03 15:29:00+05:30,1255.95,1257.0,86,108011.7,-90.29999999999609,54.00585,-144.3058499999961,EOD
TBOTEK,2025-03-03 15:27:00+05:30,2025-03-03 15:28:00+05:30,1220.0,1201.7,88,107360.0,1610.399999999996,53.68,1556.719999999996,TP
KIMS,2025-03-03 15:27:00+05:30,2025-03-03 15:29:00+05:30,522.8,515.4,206,107696.79999999999,1524.399999999995,53.8484,1470.551599999995,EOD
INDIACEM,2025-03-04 09:44:00+05:30,2025-03-04 09:44:00+05:30,290.0,291.45,374,108460.0,-542.2999999999957,54.230000000000004,-596.5299999999958,SL
JYOTICNC,2025-03-04 09:47:00+05:30,2025-03-04 09:55:00+05:30,857.15,844.29275,126,108000.9,1620.0135000000025,54.00045,1566.0130500000025,TP
NEULANDLAB,2025-03-04 09:53:00+05:30,2025-03-04 10:49:00+05:30,11195.4,11251.376999999999,9,100758.59999999999,-503.7929999999905,50.37929999999999,-554.1722999999905,SL
CAPLIPOINT,2025-03-04 10:01:00+05:30,2025-03-04 10:02:00+05:30,1744.2,1752.9209999999998,62,108140.40000000001,-540.7019999999861,54.07020000000001,-594.7721999999861,SL
NH,2025-03-04 10:29:00+05:30,2025-03-04 10:32:00+05:30,1662.95,1638.00575,65,108091.75,1621.3762500000007,54.045875,1567.3303750000007,TP
BLUESTARCO,2025-03-04 10:35:00+05:30,2025-03-04 10:44:00+05:30,2202.25,2213.2612499999996,49,107910.25,-539.5512499999786,53.955125,-593.5063749999786,SL
BLUESTARCO,2025-03-04 10:45:00+05:30,2025-03-04 10:58:00+05:30,2209.85,2176.70225,49,108282.65,1624.2397500000043,54.141324999999995,1570.0984250000042,TP
VIJAYA,2025-03-04 11:05:00+05:30,2025-03-04 11:05:00+05:30,1008.15,1013.1907499999999,108,108880.2,-544.400999999988,54.4401,-598.841099999988,SL
CAPLIPOINT,2025-03-04 11:05:00+05:30,2025-03-04 11:10:00+05:30,1783.0,1791.9149999999997,61,108763.0,-543.8149999999839,54.3815,-598.1964999999839,SL
VIJAYA,2025-03-04 11:10:00+05:30,2025-03-04 11:12:00+05:30,1020.35,1025.45175,106,108157.1,-540.785499999992,54.07855000000001,-594.864049999992,SL
VIJAYA,2025-03-04 11:19:00+05:30,2025-03-04 11:19:00+05:30,1024.55,1029.67275,106,108602.29999999999,-543.0114999999996,54.30114999999999,-597.3126499999996,SL
VIJAYA,2025-03-04 11:38:00+05:30,2025-03-04 11:38:00+05:30,1045.75,1050.97875,103,107712.25,-538.5612499999991,53.856125,-592.4173749999991,SL
NH,2025-03-04 11:47:00+05:30,2025-03-04 11:51:00+05:30,1675.95,1650.81075,64,107260.8,1608.9119999999966,53.6304,1555.2815999999966,TP
VIJAYA,2025-03-04 11:48:00+05:30,2025-03-04 11:53:00+05:30,1052.8,1058.0639999999999,103,108438.4,-542.1919999999893,54.2192,-596.4111999999893,SL
VIJAYA,2025-03-04 11:54:00+05:30,2025-03-04 11:55:00+05:30,1058.1,1063.3904999999997,102,107926.2,-539.6309999999835,53.9631,-593.5940999999834,SL
NH,2025-03-04 12:03:00+05:30,2025-03-04 12:15:00+05:30,1683.0,1657.7549999999999,64,107712.0,1615.6800000000076,53.856,1561.8240000000076,TP
CAPLIPOINT,2025-03-04 12:19:00+05:30,2025-03-04 12:25:00+05:30,1787.75,1796.6887499999998,60,107265.0,-536.324999999988,53.6325,-589.957499999988,SL
DCMSHRIRAM,2025-03-04 12:50:00+05:30,2025-03-04 12:50:00+05:30,980.6,985.5029999999999,110,107866.0,-539.3299999999897,53.933,-593.2629999999897,SL
DCMSHRIRAM,2025-03-04 13:02:00+05:30,2025-03-04 13:02:00+05:30,1006.0,1011.0299999999999,108,108648.0,-543.2399999999848,54.324,-597.5639999999847,SL
