symbol,entry_time,exit_time,entry_price,exit_price,qty,notional,gross_pnl,cost,net_pnl,exit_reason
TECHNOE,2025-01-30 09:15:00+05:30,2025-01-30 09:15:00+05:30,1061.05,1066.3552499999998,92,97616.59999999999,-488.0829999999896,78.09328,-566.1762799999897,SL
CARTRADE,2025-01-30 09:24:00+05:30,2025-01-30 09:24:00+05:30,1581.65,1573.7417500000001,61,96480.65000000001,-482.4032499999971,77.18452,-559.5877699999971,SL
TECHNOE,2025-01-30 09:42:00+05:30,2025-01-30 09:43:00+05:30,1047.3,1052.5365,93,97398.9,-486.99449999999797,77.91911999999999,-564.913619999998,SL
TECHNOE,2025-01-30 09:44:00+05:30,2025-01-30 09:45:00+05:30,1049.15,1054.39575,92,96521.8,-482.60899999998304,77.21744000000001,-559.826439999983,SL
TECHNOE,2025-01-30 09:46:00+05:30,2025-01-30 10:02:00+05:30,1052.65,1057.91325,92,96843.8,-484.2189999999973,77.47504,-561.6940399999974,SL
JWL,2025-01-30 09:58:00+05:30,2025-01-30 10:03:00+05:30,402.9,404.9144999999999,241,97098.9,-485.4944999999858,77.67912,-563.1736199999858,SL
TECHNOE,2025-01-30 10:03:00+05:30,2025-01-30 10:56:00+05:30,1060.0,1044.1,91,96460.0,1446.9000000000083,77.168,1369.7320000000082,TP
JWL,2025-01-30 10:04:00+05:30,2025-01-30 10:17:00+05:30,405.45,399.36825,240,97308.0,1459.62,77.8464,1381.7736,TP
CARTRADE,2025-01-30 10:09:00+05:30,2025-01-30 10:09:00+05:30,1713.0,1721.5649999999998,56,95928.0,-479.6399999999904,76.7424,-556.3823999999904,SL
CARTRADE,2025-01-30 10:12:00+05:30,2025-01-30 10:12:00+05:30,1718.75,1727.3437499999998,56,96250.0,-481.2499999999872,77.0,-558.2499999999873,SL
OLECTRA,2025-01-30 10:35:00+05:30,2025-01-30 10:37:00+05:30,1472.45,1479.81225,66,97181.7,-485.9084999999936,77.74536,-563.6538599999935,SL
CARTRADE,2025-01-30 10:36:00+05:30,2025-01-30 10:36:00+05:30,1733.1,1741.7654999999997,56,97053.59999999999,-485.2679999999909,77.64287999999999,-562.9108799999908,SL
