timeframe,threshold,direction,nifty_regime,n_events,ret_5,band_exit_5,full_reversion_5,adverse_excursion_5,ret_10,band_exit_10,full_reversion_10,adverse_excursion_10,ret_20,band_exit_20,full_reversion_20,adverse_excursion_20,ret_40,band_exit_40,full_reversion_40,adverse_excursion_40
1minute,2.0,below,strong_down,19718,0.045860903087476354,0.7040229885057471,0.0041274817136886105,0.145594994151681,0.06552458675075354,0.8165039739691684,0.012161945911345815,0.21242050897885997,0.09092663281793102,0.8964786716289722,0.03395362152877183,0.29255826841826854,0.10920407058276288,0.9470792176358998,0.08189965330018971,0.37944796440189227
1minute,2.0,below,strong_up,5721,0.049621031148487954,0.6807435480960116,0.010828370330265295,0.15717331194663492,0.052558529591189805,0.7794144724728411,0.027250966672804272,0.2301943323961854,0.050594210805102346,0.8555512118842846,0.05492572322126661,0.3228906468756865,0.0585252350834909,0.9162326388888888,0.1095920138888889,0.42912758787025806
1minute,3.0,above,neutral,15427,0.015689573200130393,0.7202452352392377,0.004131680661068906,0.26629720958923203,0.013346499307999206,0.8333677614817875,0.014528678647662328,0.3748890195957339,0.004803518246039079,0.9084151055605114,0.04021706809396372,0.48874106844699206,-0.011930585988890973,0.9574036511156186,0.09355983772819472,0.6002453585066042
1minute,3.0,above,strong_down,1829,0.01989681703754434,0.7265625,0.008370535714285714,0.27503407397032853,0.013486917851479095,0.8299827685238369,0.031016657093624354,0.37942390449611074,-0.03523209418944715,0.8954289292423294,0.061365059486537255,0.505504822870019,-0.0597026577020687,0.9515774027879678,0.12325752017608217,0.6293952791611789
1minute,3.0,above,strong_up,2918,0.0306286645438111,0.7211367673179396,0.003907637655417406,0.24290164910243528,0.051830310062149894,0.8354384698664742,0.010465535907614579,0.3462340566571409,0.04427342875260933,0.9119472459270752,0.03917765709852599,0.47336290609952986,0.058379810427850926,0.9599640125955915,0.09626630679262259,0.5854595567586474
1minute,3.0,below,neutral,12821,0.04301563590735112,0.6806126561870214,0.0024989923417976624,0.19727368784933744,0.03205751242395484,0.7852617539179727,0.007502500833611204,0.2929742756809623,0.037998056646553695,0.8696510271822014,0.02090248497353548,0.4105603891263382,0.028378661255325004,0.9283787833383278,0.04944560982918789,0.5479220972482931
1minute,3.0,below,strong_down,3755,0.13138779398722364,0.7284362826933779,0.003060656649972176,0.20687879341582377,0.20721989888250067,0.8424539170506913,0.01238479262672811,0.2896586130145758,0.2741098997195979,0.9155639571518589,0.03560176433522369,0.386217094754493,0.31213564020189055,0.9545957918050941,0.08453303802141011,0.532296338214339
1minute,3.0,below,strong_up,1180,0.06291405135446117,0.6789473684210526,0.002631578947368421,0.2056480526999478,0.045036217446685,0.7845601436265709,0.011669658886894075,0.29522398175427184,0.032694337874750075,0.8477011494252874,0.035440613026819924,0.44494401060113065,0.08815155086209689,0.9163952225841476,0.08469055374592833,0.5818759059415498
1minute,4.0,above,neutral,4709,0.03994294793146838,0.7256967303050252,0.003949967083607637,0.3266138044564278,0.030127065574706114,0.8319540229885057,0.012413793103448275,0.44860106984205256,0.0223223649026454,0.9100152516522624,0.033807829181494664,0.5634685820468138,0.09180815568275483,0.9553415061295972,0.07355516637478109,0.6655995941545776
1minute,4.0,above,strong_down,533,0.004382929028108686,0.7052023121387283,0.0038535645472061657,0.35815033305733424,0.12119173922873568,0.8363636363636363,0.03636363636363636,0.4926408770481021,0.2191666927265913,0.908256880733945,0.05504587155963303,0.5941940286066772,0.1029534238377824,0.9518413597733711,0.11048158640226628,0.7225170619432106
1minute,4.0,above,strong_up,902,0.08920848502135188,0.7508771929824561,0.007017543859649123,0.3077771263970139,0.14032632551558286,0.8502994011976048,0.01437125748502994,0.43750090655233,0.23118334628167247,0.9276315789473685,0.04868421052631579,0.5399561056557594,0.3202241437087808,0.9738058551617874,0.10323574730354391,0.5934695646039322
1minute,4.0,below,neutral,3384,0.06266366229809951,0.6707205837640621,0.0018242626938279112,0.24738075543271748,0.04857004343454295,0.7751572327044025,0.007547169811320755,0.36444894854003484,0.045567531891445454,0.8621038435603506,0.02124072825354012,0.5169852852089694,0.08448556090059464,0.9300831443688586,0.05102040816326531,0.6772035186207471
1minute,4.0,below,strong_down,965,0.2827823901185639,0.7277599142550911,0.00857449088960343,0.2827552344516557,0.41415203086017827,0.8393839383938394,0.020902090209020903,0.4030591015410104,0.49221920429225097,0.9090909090909091,0.04425837320574163,0.5463699019344452,0.5682414041097344,0.9565807327001357,0.10583446404341927,0.7561066323169245
1minute,4.0,below,strong_up,341,-0.01733894700407029,0.6676829268292683,0.003048780487804878,0.2875727490886273,-0.055735095767304274,0.7753164556962026,0.00949367088607595,0.4189700476261556,-0.1046591923833262,0.8406779661016949,0.02711864406779661,0.6319313938542501,-0.03933251791214575,0.8973384030418251,0.057034220532319393,0.8215463299777112
5minute,1.5,above,neutral,61551,-0.010789970290989187,0.7565995121510525,0.04291263890143644,0.253744567981667,-0.015357246696613409,0.8681736429038587,0.10556327665140615,0.3383652066118266,-0.005505224995600396,0.9391773263105092,0.23882618510158013,0.43332213549903903,-0.012637054528018572,0.9778689911983751,0.47672647257955314,0.5432730109816803
5minute,1.5,above,strong_down,6300,0.023485144064295485,0.8095322781433398,0.11986484083229593,0.2674355269786719,0.026188113098330867,0.8984282907662082,0.24793713163064832,0.3574295105017043,-0.021667750306423796,0.9545147489304211,0.4321098851609998,0.46159960970977654,0.098587845357899,0.9809225512528473,0.6395216400911162,0.5437852696729243
5minute,1.5,above,strong_up,14640,0.026532962372294838,0.7801250762660159,0.062461866992068335,0.23377873224998674,-0.009150122476596335,0.8760934182590233,0.1408067940552017,0.31708239880008454,-0.04707440997122802,0.9412712803465296,0.2774252039891206,0.4184900518322365,-0.0009309979991148883,0.9818846337200063,0.5440966152868266,0.5067833769188244
5minute,1.5,below,neutral,63363,-0.00044997801663818553,0.7074519782996695,0.02677198748873456,0.21722972756487677,-0.018360733985132625,0.8240822666588018,0.07013507933699051,0.3121900094862689,-0.026425480204799807,0.9004768459345197,0.1721315504866778,0.42829807811799026,0.050168573828759895,0.9539526574363555,0.3904421616793211,0.5667867402784094
5minute,1.5,below,strong_down,25265,0.06794005055099274,0.7594284690495386,0.039998208366926455,0.1997574936348892,0.09194659403977555,0.8656316375037929,0.0994234853848488,0.2748818229626553,0.18056180139834,0.9394877749822592,0.23282368879427134,0.35621697227950555,0.20703032922423617,0.974585635359116,0.4477147162230035,0.43614710438085297
5minute,1.5,below,strong_up,5778,-0.0070206825947240255,0.7191297530380243,0.052528420227361816,0.2586221452942173,-0.0106251828020994,0.825571366968521,0.12052608883139285,0.3494273163579741,0.016236021891041254,0.8959764474975466,0.24386653581943082,0.47905409724286474,0.03167743087456312,0.9397670549084859,0.43094841930116473,0.6151506241579772
5minute,2.0,above,neutral,27138,-0.01214753829412088,0.7830283279017297,0.035932146736859696,0.2874991357111115,-0.015922911997643358,0.8875426703206885,0.09351411125534881,0.376356499609557,0.02050441945964531,0.9511597321855572,0.22005021520803444,0.47149701263288235,-0.0037722399325382685,0.9810573630136986,0.4491652397260274,0.5926794211390228
5minute,2.0,above,strong_down,2612,-0.004622402620976118,0.8222811671087533,0.10831122900088418,0.31232355863004446,-0.015962100519063573,0.905940594059406,0.2207920792079208,0.40765635348017504,-0.11554403194757311,0.9575581395348837,0.39244186046511625,0.5188200444691922,0.06950531582875508,0.9798136645962733,0.6071428571428571,0.5989334024664402
5minute,2.0,above,strong_up,6471,0.07350158659638602,0.7908910175311766,0.05729260798843304,0.2616236367393207,0.03322781764928093,0.8920024544896706,0.12661075884638986,0.34640294965021456,-0.012894734854796247,0.9459795867562858,0.25093353248693057,0.4570146494302065,0.010062443427482562,0.9817351598173516,0.5026982150269822,0.554982624518075
5minute,2.0,below,neutral,25682,0.01671885835684174,0.7315929203539823,0.01924778761061947,0.2473304936671893,0.02509117931761079,0.8424172977281785,0.05495217218015146,0.34968064106098246,0.026390803379869848,0.9119254259080681,0.1449694631951141,0.47671829880178845,0.13269879631225162,0.9536969696969697,0.34569696969696967,0.6229317386418474
