timeframe,threshold,direction,macd_sign,n_events,ret_5,band_exit_5,full_reversion_5,adverse_excursion_5,ret_10,band_exit_10,full_reversion_10,adverse_excursion_10,ret_20,band_exit_20,full_reversion_20,adverse_excursion_20,ret_40,band_exit_40,full_reversion_40,adverse_excursion_40
1minute,3.0,below,negative,11733,0.0860510427954272,0.7067868504772005,0.0036231884057971015,0.2090718919867258,0.10089939227805,0.8128146453089244,0.011167048054919908,0.29880295380094846,0.12178717422521602,0.8907655406755947,0.03018189086548071,0.40899436154448976,0.1174080485690124,0.9426911245300217,0.06836048763814515,0.5426925799591086
1minute,3.0,below,positive,6023,0.017823306421398583,0.6589386913961875,0.0006869311351537008,0.18191374406039035,0.009169859210838857,0.7670143185433975,0.0042425313770549766,0.28012574878103724,0.020361929948286134,0.8531442433289793,0.015114760216458294,0.4057648221301489,0.037082928286955065,0.9148848684210527,0.041529605263157895,0.5550850803549296
1minute,4.0,above,negative,1572,0.051767100981054165,0.7002617801047121,0.0013089005235602095,0.2774227732612974,0.04923105104261103,0.819650067294751,0.0026917900403768506,0.3997045722564617,0.05623391806992178,0.8986340762041697,0.010064701653486701,0.53830133337854,0.1294543751418986,0.9506369426751592,0.044585987261146494,0.6849529732154317
1minute,4.0,above,positive,4572,0.0412145987471031,0.7369975017033841,0.005450828980240745,0.34374439593251926,0.056046205561370396,0.8404864091559371,0.019074868860276584,0.4689137221148862,0.07511388732137221,0.9176250334313988,0.04814121422840332,0.5716350585219323,0.12487644201533081,0.9605926860025221,0.09520807061790669,0.6495124670582931
1minute,4.0,below,negative,3144,0.122303489718016,0.6924590163934427,0.0042622950819672135,0.28021863408932957,0.16128799721501058,0.799051169095222,0.01253812267028126,0.39639680813988726,0.1650615614032148,0.8784082535003684,0.02984524686809138,0.5457082274137556,0.22890743201200348,0.9376829778335425,0.07319113341698034,0.7020180280133966
1minute,4.0,below,positive,1546,0.060815958014523726,0.6613333333333333,0.0013333333333333333,0.2114019773934781,0.025683469140154194,0.7668500687757909,0.006189821182943604,0.33559555287974346,0.049021702803284765,0.853940708604483,0.019522776572668113,0.5029003802842157,0.06747457117151644,0.9243027888446215,0.04223107569721116,0.706512094097352
5minute,1.5,above,negative,17915,-0.01737537103429049,0.7249953837631563,0.03243675755524097,0.268561096925238,-0.02297357042948523,0.8438830542151575,0.08458699971615101,0.37583632239331644,-0.05132767242814017,0.9248098584769423,0.20506402233561183,0.5138571145521564,-0.047892528987994974,0.9669690625726913,0.47080716445685045,0.7052885223593293
5minute,1.5,above,positive,64576,0.00285449337123069,0.7759583628724085,0.057769785416630644,0.2463866249142171,-0.007777431933057634,0.8795767973540164,0.13332430707336415,0.32518150187155975,-0.005698545847499589,0.94460787667328,0.2751362568698547,0.4137518940218733,0.008498622142966806,0.9807124716864576,0.5117715697714325,0.5115503499189301
5minute,1.5,below,negative,69336,0.027219507150405154,0.7345334026514166,0.035173511827397974,0.21287592037844266,0.022409748632552014,0.8444089514204188,0.0878631803743517,0.30155337702022883,0.04786435824702688,0.916564524601646,0.20532743827700928,0.40124348788419106,0.11274972323171814,0.9609824131714121,0.41579072694492636,0.5094355003055605
5minute,1.5,below,positive,25070,-0.00978717400855083,0.6875584242154462,0.022746494547073226,0.22119520989176678,-0.021161993047635125,0.8085226110087989,0.061182729691016985,0.3136059916766816,-0.027232177831516317,0.8902765388046388,0.1526796129829136,0.45064230586467624,-0.0058880629281960195,0.9465815555182261,0.38148832521417775,0.6559468775503334
5minute,2.0,above,negative,7011,0.0004753062567482997,0.744226510597912,0.02530844669408415,0.29933524497254854,-0.001350554093806826,0.8565634218289085,0.06950589970501475,0.41870735472641796,0.017591818307005614,0.9348872561439068,0.1778565999493286,0.5603721885265068,-0.05446751214112864,0.9652406417112299,0.4144385026737968,0.8055640735448736
5minute,2.0,above,positive,29210,0.004033704735801316,0.7978903451804621,0.049671350415239894,0.2811290733692728,-0.008689996580297517,0.8977293125112188,0.11815652486088674,0.3623137676455277,0.0012436082191194142,0.9540987147640134,0.251755049141376,0.4538077180287765,0.013858714702272226,0.9831095712429623,0.48245993936769166,0.5579256840139208
