symbol,timeframe,count
BALKRISIND,1minute,616
GVT&D,15minute,614
ERIS,5minute,614
ZYDUSWELL,5minute,613
BHEL,5minute,611
BAJAJHFL,1minute,609
GMDCLTD,15minute,609
ADANIPORTS,1minute,609
NATIONALUM,5minute,608
BRIGADE,5minute,607
DOMS,5minute,607
AEGISLOG,15minute,607
BBTC,5minute,607
CCL,5minute,606
UNOMINDA,5minute,606
INDIAMART,1minute,604
VMM,5minute,602
APARINDS,15minute,602
AUBANK,1minute,601
PHOENIXLTD,5minute,601
IDBI,5minute,597
FIRSTCRY,15minute,597
GRANULES,5minute,597
SCHNEIDER,15minute,595
SRF,1minute,595
MRPL,15minute,594
TECHNOE,15minute,592
KPITTECH,5minute,592
MANAPPURAM,5minute,590
DEEPAKFERT,15minute,589
PRESTIGE,5minute,587
RBLBANK,5minute,587
AFCONS,5minute,585
ZENTEC,15minute,584
ECLERX,15minute,584
ONESOURCE,15minute,583
INDGN,5minute,583
CEMPRO,15minute,580
INOXWIND,15minute,580
CHALET,5minute,578
HBLENGINE,15minute,577
MINDACORP,5minute,576
BELRISE,5minute,575
ELECON,15minute,574
FINCABLES,5minute,574
TATAINVEST,5minute,573
HEXT,5minute,572
HDFCAMC,1minute,572
PATANJALI,1minute,567
MUTHOOTFIN,1minute,565
KALYANKJIL,15minute,562
ABREL,15minute,561
3MINDIA,1minute,561
JYOTICNC,15minute,560
KPIL,5minute,559
J&KBANK,5minute,558
SAILIFE,5minute,557
KFINTECH,15minute,556
RAMCOCEM,1minute,556
BSE,15minute,555
AFFLE,5minute,554
PAYTM,15minute,553
INDIGO,1minute,550
TIINDIA,5minute,548
AMBUJACEM,1minute,548
CEATLTD,5minute,547
PETRONET,1minute,546
INDHOTEL,1minute,546
GESHIP,5minute,546
HSCL,15minute,546
CGPOWER,5minute,545
FSL,15minute,543
SCI,15minute,542
HINDCOPPER,15minute,541
SAMMAANCAP,15minute,540
OIL,5minute,540
BSOFT,5minute,540
WHIRLPOOL,5minute,538
IREDA,5minute,538
PNB,1minute,538
JWL,15minute,538
ACMESOLAR,15minute,534
MAZDOCK,15minute,534
AMBER,15minute,532
RADICO,5minute,531
SWIGGY,15minute,529
NSLNISP,5minute,529
