symbol,n,total_pnl,avg_pnl,win_rate
GRANULES,12,-1.3283525622906844,-0.11069604685755703,16.666666666666664
UNITDSPR,4,-1.3336106489184347,-0.3334026622296087,25.0
SOLARINDS,8,-1.3639455782313001,-0.17049319727891252,25.0
FACT,47,-1.3812397998942483,-0.029388080848813794,29.78723404255319
MANAPPURAM,12,-1.3992837958817985,-0.11660698299014988,25.0
RHIM,21,-1.4521148367301469,-0.06914832555857842,23.809523809523807
TATACHEM,3,-1.4999999999999556,-0.4999999999999852,0.0
BHEL,15,-1.4999999999999707,-0.09999999999999805,20.0
NYKAA,3,-1.4999999999999742,-0.4999999999999914,0.0
FORTIS,3,-1.4999999999999778,-0.4999999999999926,0.0
MUTHOOTFIN,3,-1.499999999999994,-0.499999999999998,0.0
INDUSTOWER,3,-1.4999999999999967,-0.4999999999999989,0.0
INDIAMART,3,-1.4999999999999984,-0.4999999999999995,0.0
SHYAMMETL,3,-1.4999999999999998,-0.49999999999999994,0.0
BEML,23,-1.5560576320834354,-0.06765467965580153,26.08695652173913
CGPOWER,16,-1.5977915410316867,-0.09986197131448042,18.75
UPL,8,-1.6135073779795672,-0.2016884222474459,12.5
FORCEMOT,36,-1.6243972431047515,-0.04512214564179865,27.77777777777778
COCHINSHIP,29,-1.625741508208118,-0.05606005200717648,24.137931034482758
JBMA,22,-1.7447506017096204,-0.07930684553225548,22.727272727272727
SIGNATURE,10,-1.767286497136829,-0.1767286497136829,20.0
TRIDENT,13,-1.787177206277295,-0.13747516971363807,30.76923076923077
ANGELONE,29,-1.801986324680368,-0.06213745947173683,24.137931034482758
LENSKART,13,-1.8387096774192422,-0.14143920595532633,23.076923076923077
CUMMINSIND,5,-1.8437114419675522,-0.3687422883935104,20.0
BRITANNIA,4,-1.863157070041391,-0.46578926751034777,0.0
LATENTVIEW,9,-1.8882126443919225,-0.20980140493243582,22.22222222222222
HINDZINC,4,-1.9091653027823274,-0.47729132569558186,0.0
SUNTV,8,-1.9999999999998996,-0.24999999999998745,12.5
TATACOMM,4,-1.999999999999978,-0.4999999999999945,0.0
CONCOR,4,-1.99999999999998,-0.499999999999995,0.0
MCX,9,-1.999999999999994,-0.22222222222222154,11.11111111111111
NBCC,12,-2.0000000000000155,-0.16666666666666796,16.666666666666664
WELCORP,12,-2.0000000000000187,-0.1666666666666682,16.666666666666664
PAYTM,39,-2.047358619525701,-0.052496374859633356,25.64102564102564
DATAPATTNS,51,-2.2313102717300946,-0.0437511817986293,23.52941176470588
NUVOCO,13,-2.2367671095954997,-0.17205900843042304,23.076923076923077
MAZDOCK,42,-2.2779203103561017,-0.05423619786562147,26.190476190476193
LALPATHLAB,13,-2.3478486307061197,-0.18060374082354766,23.076923076923077
MMTC,13,-2.3536246526899953,-0.18104805020692272,15.384615384615385
AFCONS,17,-2.4999999999998814,-0.1470588235294048,17.647058823529413
KAJARIACER,5,-2.4999999999999316,-0.49999999999998634,0.0
ANANDRATHI,5,-2.499999999999937,-0.4999999999999874,0.0
ESCORTS,5,-2.4999999999999956,-0.4999999999999991,0.0
GICRE,15,-2.5315845824411003,-0.16877230549607336,20.0
WOCKPHARMA,60,-2.7279428402201424,-0.04546571400366904,26.666666666666668
GODFRYPHLP,119,-2.736825551339395,-0.022998534044868867,26.05042016806723
SWIGGY,32,-2.766873121306843,-0.08646478504083885,25.0
LTFOODS,16,-2.862891691587504,-0.178930730724219,18.75
ASTERDM,10,-2.9999999999999383,-0.2999999999999938,10.0
TATAELXSI,6,-2.999999999999942,-0.4999999999999903,0.0
AADHARHFC,10,-2.9999999999999654,-0.29999999999999655,10.0
NCC,6,-2.99999999999998,-0.49999999999999667,0.0
IDBI,23,-3.1628664495112355,-0.13751593258744502,17.391304347826086
APARINDS,35,-3.1730936743921476,-0.09065981926834707,22.857142857142858
NUVAMA,17,-3.18625678119349,-0.18742686948197002,17.647058823529413
ABLBL,8,-3.374055415617121,-0.4217569269521401,12.5
ATGL,45,-3.437036675634349,-0.07637859279187442,22.22222222222222
SUNDARMFIN,7,-3.4999999999999583,-0.49999999999999406,0.0
IKS,24,-3.628589798542551,-0.15119124160593964,16.666666666666664
IRFC,12,-3.690355329949242,-0.3075296108291035,8.333333333333332
PCBL,20,-3.902542748756699,-0.19512713743783494,20.0
EIHOTEL,19,-3.9337101747173078,-0.2070373776167004,15.789473684210526
OLECTRA,28,-3.9999999999997975,-0.14285714285713563,17.857142857142858
CHALET,12,-3.9999999999999862,-0.3333333333333322,8.333333333333332
IEX,20,-3.9999999999999925,-0.19999999999999962,15.0
IDEA,78,-4.162706369342234,-0.05336803037618249,23.076923076923077
ASAHIINDIA,23,-4.166026338815799,-0.181131579948513,17.391304347826086
CGCL,34,-4.192089057318577,-0.12329673697995813,20.588235294117645
DCMSHRIRAM,31,-4.3588498154263124,-0.14060805856213912,19.35483870967742
JUBLINGREA,25,-4.499999999999954,-0.17999999999999816,16.0
SAPPHIRE,39,-4.62645914396867,-0.11862715753765822,20.51282051282051
TATAINVEST,42,-5.251870324189256,-0.12504453152831563,19.047619047619047
